symbol,id,date,jdate,min,max,yesterday,first,close,last,trades_count,volume,value,ret,cumprod,adj_price
اهرم,17914401175772326,20220118,14001028,9360.0,9590.0,9600.0,9590.0,9420.0,9370.0,185.0,2129855.0,20070557160.0,0.98125,4.853681142410011,9402.343017806945
اهرم,17914401175772326,20220119,14001029,9420.0,9540.0,9420.0,9430.0,9460.0,9540.0,288.0,1065941.0,10084541320.0,1.0042462845010616,4.946426641946508,9442.268041237123
اهرم,17914401175772326,20220122,14001102,9410.0,9600.0,9460.0,9460.0,9460.0,9490.0,106.0,860764.0,8142307630.0,1.0,4.925511518724747,9442.268041237123
اهرم,17914401175772326,20220123,14001103,9050.0,9450.0,9460.0,9450.0,9270.0,9250.0,337.0,10445519.0,96850452900.0,0.9799154334038055,4.925511518724747,9252.624179943778
اهرم,17914401175772326,20220124,14001104,9150.0,9300.0,9270.0,9210.0,9180.0,9150.0,164.0,2378640.0,21827011230.0,0.9902912621359223,5.026465907997422,9162.792877225877
اهرم,17914401175772326,20220125,14001105,8710.0,9200.0,9180.0,9200.0,8980.0,9020.0,218.0,2962660.0,26612342820.0,0.9782135076252724,5.075744985526809,8963.167760074986
اهرم,17914401175772326,20220126,14001106,9040.0,9470.0,8980.0,9150.0,9280.0,9400.0,195.0,820806.0,7616271590.0,1.0334075723830736,5.188790530861481,9262.605435801323
اهرم,17914401175772326,20220129,14001109,9290.0,9800.0,9280.0,9290.0,9610.0,9590.0,337.0,4257780.0,40920616460.0,1.0355603448275863,5.021049457665527,9591.986879100294
اهرم,17914401175772326,20220130,14001110,9450.0,9700.0,9610.0,9680.0,9580.0,9560.0,227.0,1319298.0,12639907750.0,0.9968782518210197,4.84863048565412,9562.043111527659
اهرم,17914401175772326,20220131,14001111,9500.0,9700.0,9580.0,9510.0,9610.0,9670.0,96.0,423470.0,4069047760.0,1.0031315240083507,4.863814088427567,9591.986879100292
اهرم,17914401175772326,20220201,14001112,9600.0,9700.0,9610.0,9630.0,9640.0,9620.0,92.0,364511.0,3514307010.0,1.0031217481789803,4.8486304856541205,9621.930646672925
اهرم,17914401175772326,20220202,14001113,9570.0,9720.0,9640.0,9720.0,9590.0,9620.0,106.0,577062.0,5535335770.0,0.9948132780082988,4.833541386632375,9572.024367385204
اهرم,17914401175772326,20220205,14001116,9590.0,9680.0,9590.0,9610.0,9620.0,9600.0,138.0,452816.0,4356497990.0,1.0031282586027113,4.8587423323395305,9601.968134957837
اهرم,17914401175772326,20220206,14001117,9400.0,9590.0,9620.0,9590.0,9540.0,9430.0,125.0,854156.0,8147391890.0,0.9916839916839917,4.843590329224126,9522.11808809748
اهرم,17914401175772326,20220207,14001118,9350.0,9590.0,9540.0,9400.0,9370.0,9400.0,114.0,830320.0,7782854710.0,0.9821802935010482,4.884207438903155,9352.436738519224
اهرم,17914401175772326,20220208,14001119,9330.0,9580.0,9370.0,9400.0,9380.0,9380.0,136.0,708468.0,6644506730.0,1.0010672358591248,4.9728216613805865,9362.417994376767
اهرم,17914401175772326,20220209,14001120,9420.0,9480.0,9380.0,9440.0,9430.0,9420.0,103.0,117886.0,1111593400.0,1.0053304904051172,4.967520145750117,9412.32427366449
اهرم,17914401175772326,20220212,14001123,9400.0,9440.0,9430.0,9440.0,9420.0,9430.0,66.0,157001.0,1478454510.0,0.9989395546129375,4.941181226631612,9402.343017806947
اهرم,17914401175772326,20220213,14001124,9410.0,9550.0,9420.0,9550.0,9420.0,9420.0,20.0,44295.0,417379530.0,1.0,4.946426641946507,9402.343017806947
اهرم,17914401175772326,20220214,14001125,9410.0,9500.0,9420.0,9430.0,9440.0,9480.0,42.0,184835.0,1743941330.0,1.0021231422505308,4.946426641946507,9422.305529522035
اهرم,17914401175772326,20220216,14001127,9400.0,9500.0,9440.0,9460.0,9440.0,9460.0,63.0,1120134.0,10571934180.0,1.0,4.935946924484756,9422.305529522035
اهرم,17914401175772326,20220219,14001130,9410.0,9450.0,9440.0,9450.0,9430.0,9420.0,68.0,1467364.0,13838071210.0,0.9989406779661016,4.935946924484756,9412.324273664492
