moneyness_bucket,maturity_bucket,option_type,n,mean_iv,median_iv,std_iv
atm,long,call,596,0.8011798079778875,0.7746085697298452,0.23336930713719387
atm,long,put,308,0.4640148793757828,0.44142424606368835,0.19092140392667978
atm,medium,call,282,0.7838984755525664,0.7310153399088957,0.27915443387992117
atm,medium,put,278,0.5302139042658998,0.4804690952327198,0.1756752663709405
atm,short,call,229,0.7320452928947349,0.6569765773650443,0.40076568456549333
atm,short,put,226,0.6765302348654633,0.5492029636875241,0.5382014070831037
deep_itm,long,call,2969,1.1508717068025365,1.1067174488121736,0.361098285743434
deep_itm,long,put,707,0.6431637828406168,0.5953615511059819,0.19976203626761896
deep_itm,medium,call,1155,1.409653292429689,1.2327067406692862,0.6706919025036018
deep_itm,medium,put,926,0.7619776667319526,0.7468998094884625,0.23799315005248597
deep_itm,short,call,602,1.8520463686883264,1.5540902341592573,1.0156424855923114
deep_itm,short,put,1020,1.3492325272088255,1.0885771663314605,0.8275310631166337
deep_otm,long,call,1441,0.7586159460908264,0.7224395982601038,0.1899515394471842
deep_otm,long,put,157,0.654527570345864,0.5463922827360138,0.3809208182814839
deep_otm,medium,call,744,0.7685451409469969,0.7304172381962856,0.18844804900656145
deep_otm,medium,put,126,0.7514143634142,0.6446814697135888,0.34186953026936534
deep_otm,short,call,776,1.1796644717404905,0.9572925391919229,0.6711411570129748
deep_otm,short,put,164,1.9849766158710074,1.8032555069282012,1.0798548311158631
itm,long,call,557,0.8346252125301588,0.8058133865429922,0.2447328153239645
itm,long,put,257,0.5163917694741711,0.49591333527716647,0.1815773598515857
itm,medium,call,235,0.8519415473137382,0.7780462165063392,0.32404361848749436
itm,medium,put,234,0.5540562793934971,0.5015229443199976,0.1716407839345687
itm,short,call,164,0.9363869646060419,0.7775570579188005,0.5705558214962972
itm,short,put,225,0.6717164746798979,0.6146923391333222,0.2743530914509844
otm,long,call,608,0.7631476508233306,0.7381082639647115,0.20735023960433405
otm,long,put,208,0.5003805220415761,0.46337237347042176,0.23915069576603343
otm,medium,call,279,0.7542846000754254,0.7030504377359362,0.24365515357862086
otm,medium,put,211,0.5268066505793931,0.48157518552046724,0.23750598000468692
otm,short,call,250,0.7168049651534393,0.6784708254336607,0.2462270843922612
otm,short,put,140,0.8819701581658489,0.6812176974367152,0.6278173703194835
