date_str,shadow_S,shadow_gap
20250219,25996.0,1106.0
20250218,27551.0,2601.0
20250413,29012.0,1472.0
20250412,27509.0,769.0
20250409,26015.0,25.0
20250406,25021.0,-229.0
20250304,26847.0,377.0
20250303,27120.0,150.0
20250226,27311.0,491.0
20250224,26862.0,1222.0
20260113,40935.0,-1145.0
20260111,39964.0,-676.0
20260110,38934.0,-806.0
20260106,42392.0,3342.0
20260105,39130.0,1580.0
20251231,36997.0,517.0
20251229,39198.0,1258.0
20251224,37353.0,2113.0
20251222,33484.0,154.0
20251221,33614.0,124.0
20251207,28884.0,134.0
20251202,27981.0,-29.0
20251123,26523.0,753.0
20251118,25089.0,279.0
20251117,24987.0,-613.0
20251112,25010.0,680.0
20251110,24933.0,613.0
20251108,26316.0,66.0
20251020,26861.0,1361.0
20251008,24765.0,1135.0
20250927,20446.0,2236.0
20260112,42143.0,-77.0
20260110,38384.0,-1356.0
20260106,39045.0,-5.0
20251206,28167.0,-883.0
20251123,26439.0,669.0
20260113,42659.0,579.0
20260112,42320.0,100.0
20260106,41689.0,2639.0
20260104,36249.0,139.0
20251224,36598.0,1358.0
20251223,33997.0,67.0
20251216,32957.0,1287.0
20251214,30358.0,-2.0
20251209,28874.0,-116.0
20251206,29186.0,136.0
20251202,26537.0,-1473.0
20251201,27969.0,309.0
20251130,27470.0,780.0
20251125,27850.0,1100.0
20251123,26564.0,794.0
20251122,25904.0,834.0
20251119,25678.0,848.0
20251117,26001.0,401.0
20251115,25498.0,668.0
20251110,25228.0,908.0
20251109,24795.0,-455.0
20251105,27508.0,1068.0
20251104,27450.0,20.0
20251103,28860.0,760.0
20251102,28554.0,994.0
20251101,26976.0,-534.0
20251028,28063.0,353.0
20251027,27845.0,1075.0
20251026,26460.0,450.0
20251025,26422.0,932.0
20251022,26200.0,260.0
20251019,26211.0,61.0
20251018,26403.0,993.0
20250923,18690.0,810.0
20260114,38401.0,-2009.0
20260113,40804.0,-1276.0
20260112,42325.0,105.0
20260111,40396.0,-244.0
20260106,42254.0,3204.0
20260104,36049.0,-61.0
20251223,34485.0,555.0
20251221,33506.0,16.0
20251216,30915.0,-755.0
20251208,29251.0,371.0
20251206,29497.0,447.0
20251201,28279.0,619.0
20251130,27194.0,504.0
20251126,26847.0,187.0
20251125,27414.0,664.0
20251123,26543.0,773.0
20251115,25291.0,461.0
20251108,26880.0,630.0
20251101,27894.0,384.0
20250830,17941.0,1741.0
20260114,38181.0,-2229.0
20260113,41692.0,-388.0
20260112,42529.0,309.0
20260111,39331.0,-1309.0
20260110,39342.0,-398.0
20260106,43952.0,4902.0
20260105,39085.0,1535.0
20260104,35984.0,-126.0
20251223,34570.0,640.0
20251222,33144.0,-186.0
20251221,33096.0,-394.0
20251220,32875.0,335.0
20251217,31176.0,-194.0
20251208,28940.0,60.0
20251126,27019.0,359.0
20251125,27632.0,882.0
20251123,26659.0,889.0
20251122,25871.0,801.0
20251115,25479.0,649.0
20251103,28033.0,-67.0
20251102,26261.0,-1299.0
20251101,25861.0,-1649.0
20250920,16530.0,-1600.0
20260114,38855.0,-1555.0
20260113,41436.0,-644.0
20260112,42422.0,202.0
20260111,40450.0,-190.0
20260110,38615.0,-1125.0
20260106,41474.0,2424.0
20260105,39073.0,1523.0
20260104,35495.0,-615.0
20251231,36888.0,408.0
20251230,34363.0,-2087.0
20251229,37442.0,-498.0
20251228,37119.0,-811.0
20251227,38215.0,1615.0
20251224,36094.0,854.0
20251223,34119.0,189.0
20251222,33671.0,341.0
20251221,33909.0,419.0
20251220,33756.0,1216.0
20251216,30990.0,-680.0
20251210,29580.0,190.0
20251209,29503.0,513.0
20251208,29319.0,439.0
20251207,29319.0,569.0
20251206,29498.0,448.0
20251203,28435.0,295.0
20251202,28571.0,561.0
20251201,28065.0,405.0
20251130,26441.0,-249.0
20251129,27196.0,586.0
20251126,27143.0,483.0
20251125,27692.0,942.0
20251123,26703.0,933.0
20251122,25880.0,810.0
20251119,25582.0,752.0
20251118,25521.0,711.0
20251117,26160.0,560.0
20251116,25743.0,473.0
20251115,25468.0,638.0
20251112,25212.0,882.0
20251111,24836.0,686.0
20251110,25070.0,750.0
20251109,25364.0,114.0
20251108,26995.0,745.0
20251105,27314.0,874.0
20251103,28708.0,608.0
20251102,28219.0,659.0
20251101,27827.0,317.0
20260114,38658.0,-1752.0
20260113,41159.0,-921.0
20260112,42376.0,156.0
20260111,40594.0,-46.0
20260110,39406.0,-334.0
20260106,42353.0,3303.0
20260105,39044.0,1494.0
20260104,37543.0,1433.0
20251231,36283.0,-197.0
20251230,34722.0,-1728.0
20251229,37660.0,-280.0
20251228,38719.0,789.0
20251227,38243.0,1643.0
20251224,36704.0,1464.0
20251223,34326.0,396.0
20251222,34313.0,983.0
20251221,34044.0,554.0
20251220,33725.0,1185.0
20251217,32040.0,670.0
20251216,32063.0,393.0
20251215,31763.0,443.0
20251214,30815.0,455.0
20251213,30235.0,5.0
20251210,29949.0,559.0
20251209,29328.0,338.0
20251208,29325.0,445.0
20251207,29387.0,637.0
20251206,29616.0,566.0
20251203,28747.0,607.0
20251202,28758.0,748.0
20251201,28353.0,693.0
20251130,27408.0,718.0
20251129,27447.0,837.0
20251126,27346.0,686.0
20251125,27903.0,1153.0
20251123,26826.0,1056.0
20251122,25984.0,914.0
20251119,25463.0,633.0
20251118,25863.0,1053.0
20251117,26383.0,783.0
20251116,26027.0,757.0
20251115,25533.0,703.0
20251112,25162.0,832.0
20251111,24750.0,600.0
20251110,25313.0,993.0
20251109,25185.0,-65.0
20251108,26824.0,574.0
20251105,27417.0,977.0
20251104,28071.0,641.0
20251028,28454.0,744.0
20251013,24511.0,-1269.0
20251006,23276.0,146.0
20251004,23860.0,2230.0
20251001,21984.0,1184.0
20250930,21977.0,1517.0
20250929,23821.0,4141.0
20250928,23318.0,4388.0
20250927,21407.0,3197.0
20250921,19438.0,2008.0
20250917,20300.0,1420.0
20250914,21188.0,1058.0
20260114,38907.0,-1503.0
20260113,41186.0,-894.0
20260112,42258.0,38.0
20260111,40603.0,-37.0
20260110,39112.0,-628.0
20260106,42148.0,3098.0
20260105,39177.0,1627.0
20260104,36412.0,302.0
20251231,37045.0,565.0
20251230,34114.0,-2336.0
20251229,37492.0,-448.0
20251228,38425.0,495.0
20251227,38405.0,1805.0
20251224,36535.0,1295.0
20251223,34583.0,653.0
20251222,34019.0,689.0
20251221,34016.0,526.0
20251220,33527.0,987.0
20251217,32002.0,632.0
20251216,32114.0,444.0
20251215,31754.0,434.0
20251214,30983.0,623.0
20251213,30786.0,556.0
20251210,29892.0,502.0
20251209,29554.0,564.0
20251208,29443.0,563.0
20251207,29265.0,515.0
20251206,29591.0,541.0
20251203,28779.0,639.0
20251202,28799.0,789.0
20251201,28534.0,874.0
20251130,27523.0,833.0
20251129,27429.0,819.0
20251126,27464.0,804.0
20251125,28040.0,1290.0
20251123,26917.0,1147.0
20251122,26046.0,976.0
20251119,25730.0,900.0
20251118,25718.0,908.0
20251117,26268.0,668.0
20251116,25928.0,658.0
20251115,25724.0,894.0
20251112,25272.0,942.0
20251111,25106.0,956.0
20251110,25390.0,1070.0
20251109,25152.0,-98.0
20251108,26987.0,737.0
20251104,27986.0,556.0
20251028,27909.0,199.0
20251006,24000.0,870.0
20250930,20801.0,341.0
20250929,22110.0,2430.0
20250927,20709.0,2499.0
20250920,16351.0,-1779.0
20250914,24399.0,4269.0
20260114,38929.0,-1481.0
20260113,41358.0,-722.0
20260112,42291.0,71.0
20260111,40462.0,-178.0
20260110,39256.0,-484.0
20260106,42275.0,3225.0
20260105,39470.0,1920.0
20260104,36215.0,105.0
20251231,37034.0,554.0
20251230,34047.0,-2403.0
20251229,37798.0,-142.0
20251228,38713.0,783.0
20251227,37841.0,1241.0
20251224,36224.0,984.0
20251223,34220.0,290.0
20251222,33992.0,662.0
20251221,33966.0,476.0
20251220,33467.0,927.0
20251217,31954.0,584.0
20251216,31958.0,288.0
20251215,31863.0,543.0
20251214,31097.0,737.0
20251213,30712.0,482.0
20251210,29846.0,456.0
20251209,29486.0,496.0
20251208,29450.0,570.0
20251207,29337.0,587.0
20251206,29639.0,589.0
20251203,28804.0,664.0
20251202,28766.0,756.0
20251201,28572.0,912.0
20251130,27667.0,977.0
20251129,27594.0,984.0
20251126,27700.0,1040.0
20251125,28021.0,1271.0
20251123,26932.0,1162.0
20251122,26180.0,1110.0
20251119,25891.0,1061.0
20251118,25787.0,977.0
20251117,26278.0,678.0
20251116,26074.0,804.0
20251115,25700.0,870.0
20251112,25426.0,1096.0
20251111,25357.0,1207.0
20251110,25561.0,1241.0
20251109,25385.0,135.0
20251108,27273.0,1023.0
20251105,27363.0,923.0
20251027,26849.0,79.0
20251007,23474.0,-406.0
20260114,38900.0,-1510.0
20260113,41151.0,-929.0
20260112,42234.0,14.0
20260111,40364.0,-276.0
20260110,39350.0,-390.0
20260106,42187.0,3137.0
20260105,39405.0,1855.0
20260104,36385.0,275.0
20251231,36693.0,213.0
20251230,34410.0,-2040.0
20251229,38039.0,99.0
20251228,38664.0,734.0
20251227,38246.0,1646.0
20251224,36715.0,1475.0
20251223,34522.0,592.0
20251222,33769.0,439.0
20251221,34037.0,547.0
20251220,33517.0,977.0
20251217,31937.0,567.0
20251216,31984.0,314.0
20251215,31772.0,452.0
20251214,30990.0,630.0
20251213,30583.0,353.0
20251210,29811.0,421.0
20251209,29597.0,607.0
20251208,29537.0,657.0
20251207,29366.0,616.0
20251206,29656.0,606.0
20251203,28842.0,702.0
20251202,28790.0,780.0
20251201,28595.0,935.0
20251130,27747.0,1057.0
20251129,27715.0,1105.0
20251126,27732.0,1072.0
20251125,28108.0,1358.0
20251123,27064.0,1294.0
20251122,26250.0,1180.0
20251119,25967.0,1137.0
20251118,25819.0,1009.0
20251117,26324.0,724.0
20251116,26026.0,756.0
20251115,25676.0,846.0
20251112,25364.0,1034.0
20251111,25361.0,1211.0
