moneyness,iv,option_type,maturity_bucket
0.43426766679826295,3.1134895854850075,call,short
0.4750593824228028,4.891597151793716,call,short
0.46601941747572817,1.8465043609798133,call,short
0.47374654559810503,2.923863602762476,call,short
0.5542359461599367,3.8716193366111877,call,short
0.5647438483259378,1.9177994972933203,call,short
0.5289139633286318,3.9044848881152405,call,short
0.5446623093681917,4.421489889378356,call,short
0.6334125098970704,4.125053759366203,call,short
0.6316620607974733,2.6069429602502683,call,short
0.6346967559943583,3.9070943966120444,call,short
0.7125890736342043,3.1190887456583445,call,short
0.7106198183971575,1.468039489025373,call,short
0.7052186177715092,3.577187182891486,call,short
0.7262164124909223,4.2939091869458546,call,short
0.7917656373713381,2.517864573694416,call,short
0.7766990291262136,0.8342837855998751,call,short
0.7895775759968416,1.1600545864894534,call,short
0.7757404795486601,2.4250748968348868,call,short
0.7988380537400145,3.2874311251324393,call,short
0.8709422011084719,1.8850061015975321,call,short
0.8685353335965259,0.8388961757300059,call,short
0.8896077638495754,0.3811286051778429,call,short
0.846262341325811,1.864710974671141,call,short
0.8714596949891068,2.5384155221375013,call,short
0.923432089265102,0.4946481257672167,call,short
0.9501187648456056,1.2724256151901605,call,short
0.9783938035059111,0.2803162994222488,call,short
0.9320388349514563,0.469188052037762,call,short
0.9474930911962101,0.6261182834664925,call,short
0.9704811969268096,0.2712296434155293,call,short
0.9650180940892642,0.32425630079332174,call,short
0.9681323114158935,0.383483101176609,call,short
0.9970918155380141,0.14376100579019777,call,short
0.9167842031029619,1.3341245352901723,call,short
0.944081336238199,1.739787257845058,call,short
0.9723261032161555,0.5523132736844778,call,short
1.0003847633705272,0.5567919891497917,call,short
1.0292953285827395,0.8613619446030514,call,short
1.059926620464737,0.4655367012726279,call,short
1.0297029702970297,0.483551346998442,call,short
1.0097087378640777,0.5797992182742605,call,short
1.026450848795894,0.6320984137986699,call,short
1.0513546300040437,0.517596370727286,call,short
1.045436268596703,0.4034927025282049,call,short
1.0488100040338846,0.46032190424688585,call,short
1.080182800166182,0.3702496212767922,call,short
0.99644128113879,0.5673406722135129,call,short
0.9873060648801129,0.9956747152137286,call,short
1.016702977487291,1.2797779370893272,call,short
1.0471204188481675,0.6085952614161391,call,short
1.0773374374759523,0.504775870519964,call,short
1.1084718923198733,0.6652381481865876,call,short
1.141459437423563,0.5313953249493837,call,short
1.108910891089109,0.5003069386236438,call,short
1.087378640776699,0.5521688258810687,call,short
1.1054086063955784,0.5864913089661011,call,short
1.1322280630812778,0.5750580332923376,call,short
1.1258544431041415,0.479435651599177,call,short
1.1294876966518757,0.5104562237174183,call,short
1.1632737847943497,0.4578766881638524,call,short
1.0676156583629892,0.6939822693538906,call,short
1.0578279266572637,0.6069833149941212,call,short
1.0893246187363834,0.7279636625069247,call,short
1.1219147344801794,0.6187285522665391,call,short
1.1542901115813775,0.5704284551943695,call,short
1.187648456057007,0.6934464585082719,call,short
1.222992254382389,0.6560665295419466,call,short
1.188118811881188,0.5543638069295216,call,short
1.1650485436893203,0.5163926981462149,call,short
1.1843663639952626,0.48782251032706386,call,short
1.213101496158512,0.46686937031640025,call,short
1.2062726176115801,0.4523803774429343,call,short
1.210165389269867,0.5030384163815144,call,short
1.2463647694225177,0.4875610807122662,call,short
1.209964412811388,1.3796076514115265,call,short
1.1988716502115655,1.1100208098347593,call,short
1.2345679012345678,1.019903670090249,call,short
1.2715033657442034,0.9540333717883112,call,short
1.3081954597922278,0.8442965560235273,call,short
1.3460015835312746,0.9703223041421796,call,short
1.3860578883000407,0.9639908373479071,call,short
1.3465346534653466,0.8202401764741365,call,short
1.3203883495145632,0.7191313750790699,call,short
1.342281879194631,0.6381289098338173,call,short
1.3748483623129801,0.6581139379730279,call,short
1.3671089666264575,0.5605798487948744,call,short
1.371520774505849,0.585005467961136,call,short
1.4125467386788533,0.519665539527215,call,short
0.30153508771929827,3.9415085639486978,call,short
0.28993147074327885,4.9857414858915075,call,short
0.32419687592101387,2.9914313323265795,call,short
0.2957121734844751,4.322442827030943,call,short
0.3600110772639158,2.2043275047826376,call,short
0.35635964912280704,4.083905038898049,call,short
0.3551912568306011,2.0935510107088846,call,short
0.3688989784335982,3.697716095014036,call,short
0.4104831070413641,2.804713445026816,call,short
0.37283621837549935,4.612857034492313,call,short
0.3825136612021858,2.040160567967937,call,short
0.39727582292849034,2.618555611852107,call,short
0.412614205717654,2.247678358403522,call,short
0.430239704978488,2.7715716098122964,call,short
0.4420866489832007,2.2381173115848294,call,short
0.43859649122807015,2.4562387735883373,call,short
0.4371584699453552,3.5882154024473194,call,short
0.4540295119182747,2.485574809582586,call,short
0.477754553598089,1.4185029290550604,call,short
0.49170251997541486,2.418340067251295,call,short
0.44356826022671264,3.9446858940589644,call,short
0.4793608521970706,4.515710410283874,call,short
0.4984768762115757,4.074574044518532,call,short
0.4745583970471922,2.536704849976735,call,short
0.4918032786885246,3.173067220174242,call,short
0.5107832009080591,2.683503069455552,call,short
0.5305039787798409,1.2258032300930726,call,short
0.54005400540054,2.0295304049560197,call,short
0.5374738727978501,1.4707949568238414,call,short
0.5531653349723418,2.0375584587229945,call,short
0.5737966209754543,1.3065652429870436,call,short
0.4928536224741252,3.8657950823760565,call,short
0.5326231691078562,4.1166953567007685,call,short
0.5538631957906397,2.002545430213421,call,short
0.5482456140350878,2.068043474080929,call,short
0.5272871078302136,1.728099981929278,call,short
0.546448087431694,2.8901625922254164,call,short
0.5675368898978433,2.202381813736579,call,short
0.5894488653109343,1.470906451279315,call,short
0.6000600060006,1.426457103262846,call,short
0.5971931919976112,1.1150007193836313,call,short
0.6146281499692686,1.5829747257401166,call,short
0.637551801083838,1.0022993037315853,call,short
0.5210800568450971,3.821767440765295,call,short
0.5421389847215377,2.992702774350877,call,short
0.5858854860186418,3.8860065826650287,call,short
0.6030701754385965,1.722454987966885,call,short
0.5800158186132349,1.8660929075850257,call,short
0.6010928961748634,2.1324964099290624,call,short
0.6242905788876277,1.6585407437512198,call,short
0.6600660066006601,1.1425179288458398,call,short
0.6760909649661955,1.2709421586638077,call,short
0.7013069811922219,0.7188422165994076,call,short
0.5914243469689502,2.8540714766648256,call,short
0.614596670934699,4.764468286532375,call,short
0.6391478029294274,3.3650575590320395,call,short
0.6646358349487677,1.2968501946221884,call,short
0.6327445293962563,1.5769573450069676,call,short
0.6557377049180327,2.1175064266075356,call,short
0.681044267877412,1.7424129785970186,call,short
0.7073386383731212,0.9291387696073964,call,short
0.7200720072007201,0.4909002040620955,call,short
0.7166318303971335,0.8011291037890158,call,short
0.7375537799631223,1.1003557150052887,call,short
0.7650621613006057,0.6072739130316592,call,short
0.6407097092163627,2.5776332999660263,call,short
0.6658130601792573,4.234154742860811,call,short
0.6924101198402131,3.0156042627277553,call,short
0.7200221545278316,1.4456426179809219,call,short
0.7127192982456141,1.5121777357854702,call,short
0.6854732401792776,1.1877086528666152,call,short
0.7103825136612022,1.7810113087496202,call,short
0.7377979568671964,1.4715162928236842,call,short
0.7662835249042146,0.44746018000104987,call,short
0.7800780078007801,0.5767461230342129,call,short
0.7763511495968946,0.6382818084884072,call,short
0.7990165949600492,0.9569087477820443,call,short
0.8288173414089894,0.5642603942160062,call,short
0.6631927996210327,2.1387865372817427,call,short
0.6899950714637753,2.3497438543312343,call,short
0.7170294494238156,3.8206210292716176,call,short
0.7456724367509987,2.495624268658851,call,short
0.7754084741068956,1.0949369527809436,call,short
0.7675438596491229,1.2440076935565652,call,short
0.738201950962299,1.0953373621836968,call,short
0.7650273224043715,1.5297687379676186,call,short
0.7945516458569807,1.219418297583018,call,short
0.825228411435308,0.534847270443317,call,short
0.8400840084008401,0.6190529625708571,call,short
0.8360704687966557,0.6908291415105838,call,short
0.860479409956976,0.8337339102127249,call,short
0.8925725215173733,0.6367702575407159,call,short
0.884117461319861,0.5042647734390155,call,short
0.7105637138796779,2.5703988564220275,call,short
0.7392804337111878,2.073260013884447,call,short
0.7682458386683739,3.43273442971181,call,short
0.7989347536617842,2.204934730980145,call,short
0.8307947936859595,1.1349684561359576,call,short
0.8223684210526315,1.1939714729511854,call,short
0.7909306617453203,1.098251626020508,call,short
0.819672131147541,1.3944158046481328,call,short
0.8513053348467651,0.9667805256662402,call,short
0.8841732979664014,0.5826272259738463,call,short
0.9000900090009001,0.6209439107970139,call,short
0.8957897879964168,0.662254766355754,call,short
0.9219422249539029,0.7779496124789298,call,short
0.9563277016257571,0.6221394387425788,call,short
0.947268708556994,0.49127279263735385,call,short
0.8053055423969683,1.8467771574872882,call,short
