shadow_S,shadow_gap
26015.0,25.0
25021.0,-229.0
26847.0,377.0
27120.0,150.0
27311.0,491.0
26862.0,1222.0
40935.0,-1145.0
39964.0,-676.0
38934.0,-806.0
42392.0,3342.0
39130.0,1580.0
36997.0,517.0
39198.0,1258.0
37353.0,2113.0
33484.0,154.0
33614.0,124.0
28884.0,134.0
27981.0,-29.0
26523.0,753.0
25089.0,279.0
24987.0,-613.0
25010.0,680.0
24933.0,613.0
26316.0,66.0
26861.0,1361.0
24765.0,1135.0
20446.0,2236.0
42143.0,-77.0
38384.0,-1356.0
39045.0,-5.0
28167.0,-883.0
26439.0,669.0
42659.0,579.0
42320.0,100.0
41689.0,2639.0
36249.0,139.0
36598.0,1358.0
33997.0,67.0
32957.0,1287.0
30358.0,-2.0
28874.0,-116.0
29186.0,136.0
26537.0,-1473.0
27969.0,309.0
27470.0,780.0
27850.0,1100.0
26564.0,794.0
25904.0,834.0
25678.0,848.0
26001.0,401.0
25498.0,668.0
25228.0,908.0
24795.0,-455.0
27508.0,1068.0
27450.0,20.0
28860.0,760.0
28554.0,994.0
26976.0,-534.0
28063.0,353.0
27845.0,1075.0
26460.0,450.0
26422.0,932.0
26200.0,260.0
26211.0,61.0
26403.0,993.0
18690.0,810.0
38401.0,-2009.0
40804.0,-1276.0
42325.0,105.0
40396.0,-244.0
42254.0,3204.0
36049.0,-61.0
34485.0,555.0
33506.0,16.0
30915.0,-755.0
29251.0,371.0
29497.0,447.0
28279.0,619.0
27194.0,504.0
26847.0,187.0
27414.0,664.0
26543.0,773.0
25291.0,461.0
26880.0,630.0
27894.0,384.0
17941.0,1741.0
38181.0,-2229.0
41692.0,-388.0
42529.0,309.0
39331.0,-1309.0
39342.0,-398.0
43952.0,4902.0
39085.0,1535.0
35984.0,-126.0
34570.0,640.0
33144.0,-186.0
33096.0,-394.0
32875.0,335.0
31176.0,-194.0
28940.0,60.0
27019.0,359.0
27632.0,882.0
26659.0,889.0
25871.0,801.0
25479.0,649.0
28033.0,-67.0
26261.0,-1299.0
25861.0,-1649.0
16530.0,-1600.0
38855.0,-1555.0
41436.0,-644.0
42422.0,202.0
40450.0,-190.0
38615.0,-1125.0
41474.0,2424.0
39073.0,1523.0
35495.0,-615.0
36888.0,408.0
34363.0,-2087.0
37442.0,-498.0
37119.0,-811.0
38215.0,1615.0
36094.0,854.0
34119.0,189.0
33671.0,341.0
33909.0,419.0
33756.0,1216.0
30990.0,-680.0
29580.0,190.0
29503.0,513.0
29319.0,439.0
29319.0,569.0
29498.0,448.0
28435.0,295.0
28571.0,561.0
28065.0,405.0
26441.0,-249.0
27196.0,586.0
27143.0,483.0
27692.0,942.0
26703.0,933.0
25880.0,810.0
25582.0,752.0
25521.0,711.0
26160.0,560.0
25743.0,473.0
25468.0,638.0
25212.0,882.0
24836.0,686.0
25070.0,750.0
25364.0,114.0
26995.0,745.0
27314.0,874.0
28708.0,608.0
28219.0,659.0
27827.0,317.0
38658.0,-1752.0
41159.0,-921.0
42376.0,156.0
40594.0,-46.0
39406.0,-334.0
42353.0,3303.0
39044.0,1494.0
37543.0,1433.0
36283.0,-197.0
34722.0,-1728.0
37660.0,-280.0
38719.0,789.0
38243.0,1643.0
36704.0,1464.0
34326.0,396.0
34313.0,983.0
34044.0,554.0
33725.0,1185.0
32040.0,670.0
32063.0,393.0
31763.0,443.0
30815.0,455.0
30235.0,5.0
29949.0,559.0
29328.0,338.0
29325.0,445.0
29387.0,637.0
29616.0,566.0
28747.0,607.0
28758.0,748.0
28353.0,693.0
27408.0,718.0
27447.0,837.0
27346.0,686.0
27903.0,1153.0
26826.0,1056.0
25984.0,914.0
25463.0,633.0
25863.0,1053.0
26383.0,783.0
26027.0,757.0
25533.0,703.0
25162.0,832.0
24750.0,600.0
25313.0,993.0
25185.0,-65.0
26824.0,574.0
27417.0,977.0
28071.0,641.0
28454.0,744.0
24511.0,-1269.0
23276.0,146.0
23860.0,2230.0
21984.0,1184.0
21977.0,1517.0
23821.0,4141.0
23318.0,4388.0
21407.0,3197.0
19438.0,2008.0
20300.0,1420.0
21188.0,1058.0
38907.0,-1503.0
41186.0,-894.0
42258.0,38.0
40603.0,-37.0
39112.0,-628.0
42148.0,3098.0
39177.0,1627.0
36412.0,302.0
37045.0,565.0
34114.0,-2336.0
37492.0,-448.0
38425.0,495.0
38405.0,1805.0
36535.0,1295.0
34583.0,653.0
34019.0,689.0
34016.0,526.0
33527.0,987.0
32002.0,632.0
32114.0,444.0
31754.0,434.0
30983.0,623.0
30786.0,556.0
29892.0,502.0
29554.0,564.0
29443.0,563.0
29265.0,515.0
29591.0,541.0
28779.0,639.0
28799.0,789.0
28534.0,874.0
27523.0,833.0
27429.0,819.0
27464.0,804.0
28040.0,1290.0
26917.0,1147.0
26046.0,976.0
25730.0,900.0
25718.0,908.0
26268.0,668.0
25928.0,658.0
25724.0,894.0
25272.0,942.0
25106.0,956.0
25390.0,1070.0
25152.0,-98.0
26987.0,737.0
27986.0,556.0
