moneyness_bucket,parity_basis
deep_itm,341.0
deep_itm,419.0
deep_itm,1216.0
deep_itm,-680.0
deep_itm,190.0
deep_itm,513.0
deep_itm,439.0
deep_itm,569.0
deep_itm,448.0
deep_itm,295.0
deep_itm,561.0
deep_itm,405.0
deep_itm,-249.0
deep_itm,586.0
deep_itm,483.0
deep_itm,942.0
deep_itm,933.0
deep_itm,810.0
deep_itm,752.0
deep_itm,711.0
deep_itm,560.0
deep_itm,473.0
deep_itm,638.0
deep_itm,882.0
deep_itm,686.0
deep_itm,750.0
deep_itm,114.0
deep_itm,745.0
deep_itm,874.0
deep_itm,608.0
deep_itm,659.0
deep_itm,317.0
deep_itm,-1752.0
deep_itm,-921.0
deep_itm,156.0
deep_itm,-46.0
deep_itm,-334.0
deep_itm,539.0
deep_itm,3303.0
deep_itm,1494.0
deep_itm,1433.0
deep_itm,-197.0
deep_itm,-1728.0
deep_itm,-280.0
deep_itm,789.0
deep_itm,1643.0
deep_itm,1464.0
deep_itm,396.0
deep_itm,983.0
deep_itm,554.0
deep_itm,1185.0
deep_itm,670.0
deep_itm,393.0
deep_itm,443.0
deep_itm,455.0
deep_itm,5.0
deep_itm,559.0
deep_itm,338.0
deep_itm,445.0
deep_itm,637.0
deep_itm,566.0
deep_itm,607.0
deep_itm,748.0
deep_itm,693.0
deep_itm,718.0
deep_itm,837.0
deep_itm,686.0
deep_itm,1153.0
deep_itm,1056.0
deep_itm,914.0
deep_itm,633.0
deep_itm,1053.0
deep_itm,783.0
deep_itm,757.0
deep_itm,703.0
deep_itm,832.0
deep_itm,600.0
deep_itm,993.0
deep_itm,-65.0
deep_itm,574.0
deep_itm,977.0
deep_itm,641.0
deep_itm,744.0
deep_itm,-1269.0
deep_itm,146.0
deep_itm,2230.0
deep_itm,1184.0
itm,1517.0
itm,4141.0
itm,4388.0
atm,3197.0
atm,2008.0
atm,1420.0
itm,1058.0
deep_itm,-1503.0
deep_itm,-894.0
deep_itm,38.0
deep_itm,-37.0
deep_itm,-628.0
deep_itm,751.0
deep_itm,3098.0
deep_itm,1627.0
deep_itm,302.0
deep_itm,565.0
deep_itm,-2336.0
deep_itm,-448.0
deep_itm,495.0
deep_itm,1805.0
deep_itm,1295.0
deep_itm,653.0
deep_itm,689.0
deep_itm,526.0
deep_itm,987.0
deep_itm,632.0
deep_itm,444.0
deep_itm,434.0
deep_itm,623.0
deep_itm,556.0
deep_itm,502.0
deep_itm,564.0
deep_itm,563.0
deep_itm,515.0
deep_itm,541.0
deep_itm,639.0
deep_itm,789.0
deep_itm,874.0
deep_itm,833.0
deep_itm,819.0
deep_itm,804.0
deep_itm,1290.0
deep_itm,1147.0
deep_itm,976.0
deep_itm,900.0
deep_itm,908.0
deep_itm,668.0
deep_itm,658.0
deep_itm,894.0
deep_itm,942.0
deep_itm,956.0
deep_itm,1070.0
deep_itm,-98.0
deep_itm,737.0
deep_itm,556.0
deep_itm,199.0
deep_itm,870.0
atm,341.0
atm,2430.0
otm,2499.0
otm,-1779.0
