tau_bucket,median_iv,mean_iv,n
0-1min,1.2920593017243116,1.4771038948817117,161
1-5min,0.5751365902459037,1.0286560082074392,170
15-30min,0.3508234806780848,0.7592080739511673,124
30-100000min,0.49757800371053046,0.5895551159383516,418
5-15min,0.3508234806780848,0.8177431810285911,330
